name,center_x,center_y,class,set
a8773be388e12df89edd,21029,7246,Nonmitosis,train
a8773be388e12df89edd,21030,7305,Nonmitosis,train
a8773be388e12df89edd,20378,6976,Nonmitosis,train
a8773be388e12df89edd,21086,6940,Nonmitosis,train
a8773be388e12df89edd,23504,7623,Nonmitosis,train
a8773be388e12df89edd,15300,8437,Nonmitosis,train
a8773be388e12df89edd,24069,8282,Nonmitosis,train
a8773be388e12df89edd,14561,9753,Nonmitosis,train
a8773be388e12df89edd,14607,9443,Nonmitosis,train
a8773be388e12df89edd,15481,9406,Nonmitosis,train
a8773be388e12df89edd,19810,9668,Nonmitosis,train
a8773be388e12df89edd,20929,9853,Nonmitosis,train
a8773be388e12df89edd,20294,9828,Nonmitosis,train
a8773be388e12df89edd,20455,9910,Nonmitosis,train
a8773be388e12df89edd,15180,10804,Nonmitosis,train
a8773be388e12df89edd,15171,10665,Nonmitosis,train
a8773be388e12df89edd,21154,10402,Nonmitosis,train
a8773be388e12df89edd,20915,10087,Nonmitosis,train
a8773be388e12df89edd,20813,10114,Nonmitosis,train
a8773be388e12df89edd,20965,10310,Nonmitosis,train
a8773be388e12df89edd,21135,10271,Nonmitosis,train
a8773be388e12df89edd,20965,10043,Nonmitosis,train
a8773be388e12df89edd,19974,11925,Nonmitosis,train
a8773be388e12df89edd,20324,12198,Nonmitosis,train
a8773be388e12df89edd,21413,11949,Nonmitosis,train
a8773be388e12df89edd,16703,13060,Nonmitosis,train
a8773be388e12df89edd,19142,12549,Nonmitosis,train
a8773be388e12df89edd,20644,12656,Nonmitosis,train
a8773be388e12df89edd,20582,13959,Nonmitosis,train
a8773be388e12df89edd,21212,14338,Nonmitosis,train
a8773be388e12df89edd,17104,14736,Nonmitosis,train
a8773be388e12df89edd,24549,15897,Nonmitosis,train
a8773be388e12df89edd,17860,17151,Nonmitosis,train
a8773be388e12df89edd,17952,17130,Nonmitosis,train
a8773be388e12df89edd,29082,17485,Nonmitosis,train
a8773be388e12df89edd,26342,18192,Nonmitosis,train
a8773be388e12df89edd,30077,18080,Nonmitosis,train
a8773be388e12df89edd,28758,19207,Nonmitosis,train
a8773be388e12df89edd,28645,19115,Nonmitosis,train
a8773be388e12df89edd,28786,19080,Nonmitosis,train
a8773be388e12df89edd,27149,19482,Nonmitosis,train
a8773be388e12df89edd,27253,19921,Nonmitosis,train
a8773be388e12df89edd,27314,19859,Nonmitosis,train
a8773be388e12df89edd,28647,19387,Nonmitosis,train
a8773be388e12df89edd,28629,19275,Nonmitosis,train
a8773be388e12df89edd,28690,19688,Nonmitosis,train
a8773be388e12df89edd,28914,19549,Nonmitosis,train
a8773be388e12df89edd,19733,21560,Nonmitosis,train
a8773be388e12df89edd,24168,23413,Nonmitosis,train
a8773be388e12df89edd,23560,24556,Nonmitosis,train
a8773be388e12df89edd,19372,25673,Nonmitosis,train
a8773be388e12df89edd,22251,25499,Mitosis,train
a8773be388e12df89edd,21888,25729,Nonmitosis,train
a8773be388e12df89edd,22129,25515,Nonmitosis,train
a8773be388e12df89edd,32345,26001,Nonmitosis,train
a8773be388e12df89edd,32752,25915,Nonmitosis,train
a8773be388e12df89edd,24173,26594,Nonmitosis,train
a8773be388e12df89edd,32728,26173,Mitosis,train
a8773be388e12df89edd,42896,26134,Nonmitosis,train
a8773be388e12df89edd,23787,27511,Nonmitosis,train
a8773be388e12df89edd,33793,29127,Nonmitosis,train
a8773be388e12df89edd,14603,30548,Mitosis,train
a8773be388e12df89edd,18545,30560,Nonmitosis,train
a8773be388e12df89edd,17915,30376,Nonmitosis,train
a8773be388e12df89edd,28487,30639,Mitosis,train
a8773be388e12df89edd,16017,30899,Nonmitosis,train
a8773be388e12df89edd,17102,30944,Mitosis,train
a8773be388e12df89edd,19010,31181,Nonmitosis,train
a8773be388e12df89edd,18909,31335,Nonmitosis,train
a8773be388e12df89edd,30809,31142,Nonmitosis,train
a8773be388e12df89edd,6640,32184,Nonmitosis,train
a8773be388e12df89edd,7640,31709,Mitosis,train
a8773be388e12df89edd,7381,31587,Mitosis,train
a8773be388e12df89edd,10924,32215,Nonmitosis,train
a8773be388e12df89edd,13477,32019,Nonmitosis,train
a8773be388e12df89edd,13309,32075,Nonmitosis,train
a8773be388e12df89edd,13176,32652,Mitosis,train
a8773be388e12df89edd,12988,32700,Mitosis,train
